Date,Spread,ZScore,Signal,PositionSize,Exposure,PnL,Capital,Event
2015-09-10,-6.338099520093735,1.2780997824066531,0.0,1.5782144757299799,0.0,-0.0,1000010.4523078132,
2015-09-11,-5.6676836927494065,1.8759177724307536,0.0,2.0,0.0,0.0,1000010.4523078132,
2015-09-14,-5.557979747974834,1.8037721252480916,0.0,2.0,0.0,0.0,1000010.4523078132,
2015-09-15,-5.343214985851844,1.8534449489961775,0.0,2.0,0.0,0.0,1000010.4523078132,
2015-09-16,-5.523456919048726,1.497900235752831,0.0,1.8063794372398294,0.0,-0.0,1000010.4523078132,
2015-09-17,-5.0315061145262945,1.8358583062185045,0.0,2.0,0.0,0.0,1000010.4523078132,
2015-09-18,-5.353434923563469,1.3397350221876962,0.0,1.582275929712509,0.0,-0.0,1000010.4523078132,
2015-09-21,-5.0053989501733795,1.6043793887231526,0.0,1.9306766498584595,0.0,0.0,1000010.4523078132,
2015-09-22,-5.336408144537124,1.1042485728114388,0.0,1.3693479142599214,0.0,-0.0,1000010.4523078132,
2015-09-23,-5.097162064392506,1.2581892081838086,0.0,1.5310741715943563,0.0,0.0,1000010.4523078132,
2015-09-24,-4.731086903143577,1.5010779804526053,0.0,1.721446253410402,0.0,0.0,1000010.4523078132,
2015-09-25,-5.384878079723286,0.6814188578899855,0.0,0.7794523685986622,0.0,-0.0,1000010.4523078132,
2015-09-28,-5.7763710643232145,0.17035945453555426,0.0,0.20236759674767665,0.0,-0.0,1000010.4523078132,
2015-09-29,-5.698400980570639,0.1804220360748106,0.0,0.23309892780497743,0.0,0.0,1000010.4523078132,
2015-09-30,-5.904414929550413,-0.19621867261751327,0.0,0.2827404633033556,0.0,-0.0,1000010.4523078132,
2015-10-01,-5.391760877400529,0.4668448887137758,0.0,0.7415214268191249,0.0,0.0,1000010.4523078132,
2015-10-02,-5.886822518153913,-0.5197943030912149,0.0,1.0057647946393264,0.0,-0.0,1000010.4523078132,
2015-10-05,-5.943504585843293,-0.7818659199602295,0.0,1.6915770310980622,0.0,-0.0,1000010.4523078132,
2015-10-06,-5.806715264219349,-0.6545411383877421,0.0,1.6263906502520276,0.0,0.0,1000010.4523078132,
2015-10-07,-6.154900153061739,-1.492648765938457,0.0,2.0,0.0,-0.0,1000010.4523078132,
2015-10-08,-7.020311331026662,-2.9014863447659542,0.0,2.0,0.0,-0.0,1000010.4523078132,
2015-10-09,-6.879845796040442,-2.1535765697449243,0.0,2.0,0.0,0.0,1000010.4523078132,
2015-10-12,-6.734495370403607,-1.6570581999075398,0.0,2.0,0.0,0.0,1000010.4523078132,
2015-10-13,-6.266279626539415,-0.8246419919370094,0.0,1.307954943129604,0.0,0.0,1000010.4523078132,
2015-10-14,-7.076416569886405,-1.8045922404483048,0.0,2.0,0.0,-0.0,1000010.4523078132,
2015-10-15,-6.974343516784828,-1.4772162902859014,0.0,2.0,0.0,0.0,1000010.4523078132,
2015-10-16,-7.38876205297462,-1.772468811986571,0.0,2.0,0.0,-0.0,1000010.4523078132,
2015-10-19,-6.6499973196856885,-0.7327526297005396,0.0,0.9854510497070075,0.0,0.0,1000010.4523078132,
2015-10-20,-7.3690617054286065,-1.5067948805968294,0.0,1.9534197551961556,0.0,-0.0,1000010.4523078132,
2015-10-21,-7.730107462324867,-1.747695050492997,0.0,2.0,0.0,-0.0,1000010.4523078132,
2015-10-22,-8.256008885069498,-2.145149283869965,0.0,2.0,0.0,-0.0,1000010.4523078132,
2015-10-23,-5.9621495505495545,0.7462486034064311,0.0,0.9578644193622085,0.0,0.0,1000010.4523078132,
2015-10-26,-4.403779171016389,2.298411977350262,0.0,2.0,0.0,0.0,1000010.4523078132,
